Codi_Districte,Nom_Districte,Nom_Carrer,title,size,price,Vigilancia,Columnas,Tipo plaza,Puerta,Planta,Ciudad,Personas,Promedio_Euros,Vehicles
1,Ciutat Vella,Hostal Sant Antoni,"Garaje en Sant Antoni, Barcelona",12 m²,21.900 €,No,None,grande,automática,Planta -1," Barcelona",106028,11517.7037037037,33685
4,Les Corts,Av Pedralbes,"Garaje en Pedralbes, Barcelona",21 m²,32.000 €,No,Si,grande,automática,sótano -4," Barcelona",81074,22022.0350877193,48622
7,Horta-Guinardó,Pl Cementiri Horta,"Garaje en Horta, Barcelona",9 m²,16.500 €,No,None,mediano,automática,None," Barcelona",172109,15152.3170731707,80895
7,Horta-Guinardó,Basses d'Horta,"Garaje en Horta, Barcelona",9 m²,16.500 €,No,None,mediano,automática,None," Barcelona",172109,15152.3170731707,80895
7,Horta-Guinardó,Pl Masies d'Horta,"Garaje en Horta, Barcelona",9 m²,16.500 €,No,None,mediano,automática,None," Barcelona",172109,15152.3170731707,80895
7,Horta-Guinardó,Hortal,"Garaje en Horta, Barcelona",9 m²,16.500 €,No,None,mediano,automática,None," Barcelona",172109,15152.3170731707,80895
2,Eixample,Ctra Antiga Horta,"Garaje en Horta, Barcelona",9 m²,16.500 €,No,None,mediano,automática,None," Barcelona",266857,18867.7167630058,128137
7,Horta-Guinardó,Horta,"Garaje en Horta, Barcelona",9 m²,16.500 €,No,None,mediano,automática,None," Barcelona",172109,15152.3170731707,80895
7,Horta-Guinardó,Pl Bugaderes Horta,"Garaje en Horta, Barcelona",9 m²,16.500 €,No,None,mediano,automática,None," Barcelona",172109,15152.3170731707,80895
8,Nou Barris,Riera d'Horta,"Garaje en Horta, Barcelona",9 m²,16.500 €,No,None,mediano,automática,None," Barcelona",170736,12431.811965812,66780
9,Sant Andreu,Riera d'Horta,"Garaje en Horta, Barcelona",9 m²,16.500 €,No,None,mediano,automática,None," Barcelona",149826,15124.7473684211,65745
7,Horta-Guinardó,Camí S Genís Horta,"Garaje en Horta, Barcelona",9 m²,16.500 €,No,None,mediano,automática,None," Barcelona",172109,15152.3170731707,80895
3,Sants-Montjuïc,Hostafrancs de Sió,"Garaje en Hostafrancs, Barcelona",22 m²,16.300 €,No,None,None,None,None," Barcelona",183770,14625.3931623932,79559
3,Sants-Montjuïc,Hostafrancs de Sió,"Garaje en Hostafrancs, Barcelona",22 m²,13.700 €,No,None,None,None,None," Barcelona",183770,14625.3931623932,79559
1,Ciutat Vella,Ferlandina,"Garaje en calle Ferlandina, El Raval, Barcelona",2 m²,4.900 €,No,None,None,automática,sótano -3," Barcelona",106028,11517.7037037037,33685
1,Ciutat Vella,Doctor Aiguader,"Garaje en calle Doctor Aiguader, Sant Pere, Santa Caterina i la Ribera, Barcelona",14 m²,28.500 €,No,None,None,None,None," Ciutat Vella",106028,11517.7037037037,33685
10,Sant Martí,Doctor Aiguader,"Garaje en calle Doctor Aiguader, Sant Pere, Santa Caterina i la Ribera, Barcelona",14 m²,28.500 €,No,None,None,None,None," Ciutat Vella",239465,15323.0884353741,103094
4,Les Corts,Sants,"Garaje en Sants, Barcelona",6 m²,7.900 €,No,None,None,None,None," Barcelona",81074,22022.0350877193,48622
7,Horta-Guinardó,M Sants Oliver,"Garaje en Sants, Barcelona",6 m²,7.900 €,No,None,None,None,None," Barcelona",172109,15152.3170731707,80895
3,Sants-Montjuïc,Pl Sants,"Garaje en Sants, Barcelona",6 m²,7.900 €,No,None,None,None,None," Barcelona",183770,14625.3931623932,79559
5,Sarrià-Sant Gervasi,Av Tots Sants,"Garaje en Sants, Barcelona",6 m²,7.900 €,No,None,None,None,None," Barcelona",148201,25606.7755102041,102272
