"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"03042","680","685","110","137","842","276","1037","118","210","07-05-2023 10:00:04"
"03043","742","846","120","130","904","434","1159","113","316","07-05-2023 10:00:04"
"03044","902","980","185","170","1170","357","1350","122","410","07-05-2023 10:00:04"
"03045","558","552","125","95","692","198","831","100","179","07-05-2023 10:00:04"
"03046","689","775","121","94","809","440","1193","96","175","07-05-2023 10:00:04"
"03047","865","915","159","181","1120","320","1311","143","326","07-05-2023 10:00:04"
"03048","624","727","112","102","775","362","1032","79","240","07-05-2023 10:00:04"
"03049","799","896","183","129","999","384","1215","150","330","07-05-2023 10:00:04"
"03050","824","850","183","112","1075","304","1193","149","332","07-05-2023 10:00:04"
"03051","922","942","232","200","1178","254","1303","129","432","07-05-2023 10:00:04"
"03052","651","757","166","142","891","209","972","130","306","07-05-2023 10:00:04"
"03053","1068","1209","290","172","1454","361","1511","185","581","07-05-2023 10:00:04"
"03054","803","848","134","149","933","435","1254","116","281","07-05-2023 10:00:04"
"03055","766","828","157","108","968","361","1170","122","302","07-05-2023 10:00:04"
"03056","454","500","83","77","560","234","676","57","221","07-05-2023 10:00:04"
"03057","727","791","145","111","839","423","1252","78","188","07-05-2023 10:00:04"
"03058","842","953","230","149","1029","387","1484","108","203","07-05-2023 10:00:04"
"03059","584","634","133","101","706","278","1000","60","158","07-05-2023 10:00:04"
"03060","675","716","133","130","759","369","1202","42","147","07-05-2023 10:00:04"
"03061","533","611","118","83","680","263","879","78","187","07-05-2023 10:00:04"
"03062","741","860","174","128","969","330","1301","72","228","07-05-2023 10:00:04"
"03063","967","1045","367","175","1187","283","1609","104","299","07-05-2023 10:00:04"
"03064","798","898","216","165","1011","304","1063","98","535","07-05-2023 10:00:04"
"03065","635","705","117","114","750","359","1197","23","120","07-05-2023 10:00:04"
"03066","1137","1218","252","265","1333","505","1957","69","329","07-05-2023 10:00:04"
"03067","780","933","184","152","912","465","1419","44","250","07-05-2023 10:00:04"
"03068","551","635","127","91","654","314","937","39","210","07-05-2023 10:00:04"
"03069","599","629","119","116","661","332","1000","30","198","07-05-2023 10:00:04"
"03070","620","687","127","113","737","330","998","43","266","07-05-2023 10:00:04"
"03071","640","741","162","116","840","263","1054","90","237","07-05-2023 10:00:04"
"03072","659","745","143","111","846","304","1086","54","264","07-05-2023 10:00:04"
"03073","752","827","158","123","898","400","1283","58","238","07-05-2023 10:00:04"
